Unnamed: 0,amount,Conc,elution,res,thrp,priority
450,0.5,10.0,7,PENDING,PENDING,1.0
604,2.0,10.0,9,PENDING,PENDING,0.0
603,0.95,9.0,5,PENDING,PENDING,0.0
602,0.95,8.5,9,PENDING,PENDING,0.0
601,0.95,8.5,8,PENDING,PENDING,0.0
600,0.95,8.5,7,PENDING,PENDING,0.0
599,0.95,8.5,6,PENDING,PENDING,0.0
598,0.95,8.5,5,PENDING,PENDING,0.0
597,0.95,9.0,6,PENDING,PENDING,0.0
596,0.95,8.0,9,PENDING,PENDING,0.0
595,0.95,8.0,7,PENDING,PENDING,0.0
594,0.95,8.0,6,PENDING,PENDING,0.0
593,0.95,8.0,5,PENDING,PENDING,0.0
592,0.95,7.5,9,PENDING,PENDING,0.0
591,0.95,7.5,8,PENDING,PENDING,0.0
590,0.95,7.5,7,PENDING,PENDING,0.0
589,0.95,8.0,8,PENDING,PENDING,0.0
588,0.95,9.0,7,PENDING,PENDING,0.0
587,0.95,9.0,8,PENDING,PENDING,0.0
586,0.95,9.0,9,PENDING,PENDING,0.0
585,1.1,5.0,9,PENDING,PENDING,0.0
584,1.1,5.0,8,PENDING,PENDING,0.0
583,1.1,5.0,7,PENDING,PENDING,0.0
582,1.1,5.0,6,PENDING,PENDING,0.0
581,1.1,5.0,5,PENDING,PENDING,0.0
580,0.95,10.0,9,PENDING,PENDING,0.0
579,0.95,10.0,8,PENDING,PENDING,0.0
578,0.95,10.0,7,PENDING,PENDING,0.0
577,0.95,10.0,6,PENDING,PENDING,0.0
576,0.95,10.0,5,PENDING,PENDING,0.0
575,0.95,9.5,9,PENDING,PENDING,0.0
574,0.95,9.5,8,PENDING,PENDING,0.0
573,0.95,9.5,7,PENDING,PENDING,0.0
572,0.95,9.5,6,PENDING,PENDING,0.0
571,0.95,9.5,5,PENDING,PENDING,0.0
570,0.95,7.5,6,PENDING,PENDING,0.0
569,0.95,7.5,5,PENDING,PENDING,0.0
568,0.95,7.0,9,PENDING,PENDING,0.0
567,0.95,7.0,8,PENDING,PENDING,0.0
566,0.95,5.0,8,PENDING,PENDING,0.0
565,0.95,5.0,7,PENDING,PENDING,0.0
564,0.95,5.0,6,PENDING,PENDING,0.0
563,0.95,5.0,5,PENDING,PENDING,0.0
562,0.8,10.0,9,PENDING,PENDING,0.0
561,0.8,10.0,8,PENDING,PENDING,0.0
560,0.8,10.0,7,PENDING,PENDING,0.0
559,0.8,10.0,6,PENDING,PENDING,0.0
558,0.8,10.0,5,PENDING,PENDING,0.0
557,0.8,9.5,9,PENDING,PENDING,0.0
556,0.8,9.5,8,PENDING,PENDING,0.0
555,0.8,9.5,7,PENDING,PENDING,0.0
554,0.8,9.5,6,PENDING,PENDING,0.0
553,0.8,9.5,5,PENDING,PENDING,0.0
552,0.8,9.0,9,PENDING,PENDING,0.0
551,0.95,5.0,9,PENDING,PENDING,0.0
550,1.1,5.5,5,PENDING,PENDING,0.0
549,0.95,5.5,5,PENDING,PENDING,0.0
548,0.95,5.5,7,PENDING,PENDING,0.0
547,0.95,7.0,7,PENDING,PENDING,0.0
546,0.95,7.0,6,PENDING,PENDING,0.0
545,0.95,7.0,5,PENDING,PENDING,0.0
544,0.95,6.5,9,PENDING,PENDING,0.0
543,0.95,6.5,8,PENDING,PENDING,0.0
542,0.95,6.5,7,PENDING,PENDING,0.0
541,0.95,6.5,6,PENDING,PENDING,0.0
540,0.95,6.5,5,PENDING,PENDING,0.0
539,0.95,6.0,9,PENDING,PENDING,0.0
538,0.95,6.0,8,PENDING,PENDING,0.0
537,0.95,6.0,7,PENDING,PENDING,0.0
536,0.95,6.0,6,PENDING,PENDING,0.0
535,0.95,6.0,5,PENDING,PENDING,0.0
534,0.95,5.5,9,PENDING,PENDING,0.0
533,0.95,5.5,8,PENDING,PENDING,0.0
532,0.95,5.5,6,PENDING,PENDING,0.0
531,1.1,5.5,6,PENDING,PENDING,0.0
530,1.1,5.5,7,PENDING,PENDING,0.0
529,1.1,5.5,8,PENDING,PENDING,0.0
528,1.25,5.5,6,PENDING,PENDING,0.0
527,1.25,5.5,5,PENDING,PENDING,0.0
526,1.25,5.0,9,PENDING,PENDING,0.0
525,1.25,5.0,8,PENDING,PENDING,0.0
524,1.25,5.0,7,PENDING,PENDING,0.0
523,1.25,5.0,6,PENDING,PENDING,0.0
522,1.25,5.0,5,PENDING,PENDING,0.0
521,1.1,10.0,9,PENDING,PENDING,0.0
520,1.1,10.0,8,PENDING,PENDING,0.0
519,1.1,10.0,7,PENDING,PENDING,0.0
518,1.1,10.0,6,PENDING,PENDING,0.0
517,1.1,10.0,5,PENDING,PENDING,0.0
516,1.1,9.5,9,PENDING,PENDING,0.0
515,1.1,9.5,8,PENDING,PENDING,0.0
514,1.1,9.5,7,PENDING,PENDING,0.0
513,1.25,5.5,7,PENDING,PENDING,0.0
512,1.1,9.5,6,PENDING,PENDING,0.0
511,1.25,5.5,8,PENDING,PENDING,0.0
510,1.25,6.0,5,PENDING,PENDING,0.0
509,1.25,7.5,5,PENDING,PENDING,0.0
508,1.25,7.0,9,PENDING,PENDING,0.0
507,1.25,7.0,8,PENDING,PENDING,0.0
506,1.25,7.0,7,PENDING,PENDING,0.0
505,1.25,7.0,6,PENDING,PENDING,0.0
504,1.25,7.0,5,PENDING,PENDING,0.0
503,1.25,6.5,9,PENDING,PENDING,0.0
502,1.25,6.5,8,PENDING,PENDING,0.0
501,1.25,6.5,7,PENDING,PENDING,0.0
500,1.25,6.5,6,PENDING,PENDING,0.0
499,1.25,6.5,5,PENDING,PENDING,0.0
498,1.25,6.0,9,PENDING,PENDING,0.0
497,1.25,6.0,8,PENDING,PENDING,0.0
496,1.25,6.0,7,PENDING,PENDING,0.0
495,1.25,6.0,6,PENDING,PENDING,0.0
494,1.25,5.5,9,PENDING,PENDING,0.0
493,0.8,9.0,8,PENDING,PENDING,0.0
492,1.1,9.5,5,PENDING,PENDING,0.0
491,1.1,9.0,8,PENDING,PENDING,0.0
490,1.1,7.0,8,PENDING,PENDING,0.0
489,1.1,7.0,7,PENDING,PENDING,0.0
488,1.1,7.0,6,PENDING,PENDING,0.0
487,1.1,7.0,5,PENDING,PENDING,0.0
486,1.1,6.5,9,PENDING,PENDING,0.0
485,1.1,6.5,8,PENDING,PENDING,0.0
484,1.1,6.5,7,PENDING,PENDING,0.0
483,1.1,6.5,6,PENDING,PENDING,0.0
482,1.1,6.5,5,PENDING,PENDING,0.0
481,1.1,6.0,9,PENDING,PENDING,0.0
480,1.1,6.0,8,PENDING,PENDING,0.0
479,1.1,6.0,7,PENDING,PENDING,0.0
478,1.1,6.0,6,PENDING,PENDING,0.0
477,1.1,6.0,5,PENDING,PENDING,0.0
476,1.1,5.5,9,PENDING,PENDING,0.0
475,1.1,7.0,9,PENDING,PENDING,0.0
474,1.1,9.0,9,PENDING,PENDING,0.0
473,1.1,7.5,5,PENDING,PENDING,0.0
472,1.1,7.5,7,PENDING,PENDING,0.0
471,1.1,9.0,7,PENDING,PENDING,0.0
470,1.1,9.0,6,PENDING,PENDING,0.0
