Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,amount,Conc,elution,res,thrp,priority
602,1,604,2.0,10.0,9,PENDING,PENDING,1.0
601,2,603,0.95,9.0,5,PENDING,PENDING,0.0
600,3,602,0.95,8.5,9,PENDING,PENDING,0.0
599,4,601,0.95,8.5,8,PENDING,PENDING,0.0
598,5,600,0.95,8.5,7,PENDING,PENDING,0.0
597,6,599,0.95,8.5,6,PENDING,PENDING,0.0
596,7,598,0.95,8.5,5,PENDING,PENDING,0.0
595,8,597,0.95,9.0,6,PENDING,PENDING,0.0
594,9,596,0.95,8.0,9,PENDING,PENDING,0.0
593,10,595,0.95,8.0,7,PENDING,PENDING,0.0
592,11,594,0.95,8.0,6,PENDING,PENDING,0.0
591,12,593,0.95,8.0,5,PENDING,PENDING,0.0
590,13,592,0.95,7.5,9,PENDING,PENDING,0.0
589,14,591,0.95,7.5,8,PENDING,PENDING,0.0
588,15,590,0.95,7.5,7,PENDING,PENDING,0.0
587,16,589,0.95,8.0,8,PENDING,PENDING,0.0
586,17,588,0.95,9.0,7,PENDING,PENDING,0.0
585,18,587,0.95,9.0,8,PENDING,PENDING,0.0
584,19,586,0.95,9.0,9,PENDING,PENDING,0.0
583,20,585,1.1,5.0,9,PENDING,PENDING,0.0
582,21,584,1.1,5.0,8,PENDING,PENDING,0.0
581,22,583,1.1,5.0,7,PENDING,PENDING,0.0
580,23,582,1.1,5.0,6,PENDING,PENDING,0.0
579,24,581,1.1,5.0,5,PENDING,PENDING,0.0
578,25,580,0.95,10.0,9,PENDING,PENDING,0.0
577,26,579,0.95,10.0,8,PENDING,PENDING,0.0
576,27,578,0.95,10.0,7,PENDING,PENDING,0.0
575,28,577,0.95,10.0,6,PENDING,PENDING,0.0
574,29,576,0.95,10.0,5,PENDING,PENDING,0.0
573,30,575,0.95,9.5,9,PENDING,PENDING,0.0
572,31,574,0.95,9.5,8,PENDING,PENDING,0.0
571,32,573,0.95,9.5,7,PENDING,PENDING,0.0
570,33,572,0.95,9.5,6,PENDING,PENDING,0.0
569,34,571,0.95,9.5,5,PENDING,PENDING,0.0
568,35,570,0.95,7.5,6,PENDING,PENDING,0.0
567,36,569,0.95,7.5,5,PENDING,PENDING,0.0
566,37,568,0.95,7.0,9,PENDING,PENDING,0.0
565,38,567,0.95,7.0,8,PENDING,PENDING,0.0
564,39,566,0.95,5.0,8,PENDING,PENDING,0.0
563,40,565,0.95,5.0,7,PENDING,PENDING,0.0
562,41,564,0.95,5.0,6,PENDING,PENDING,0.0
561,42,563,0.95,5.0,5,PENDING,PENDING,0.0
560,43,562,0.8,10.0,9,PENDING,PENDING,0.0
559,44,561,0.8,10.0,8,PENDING,PENDING,0.0
558,45,560,0.8,10.0,7,PENDING,PENDING,0.0
557,46,559,0.8,10.0,6,PENDING,PENDING,0.0
556,47,558,0.8,10.0,5,PENDING,PENDING,0.0
555,48,557,0.8,9.5,9,PENDING,PENDING,0.0
554,49,556,0.8,9.5,8,PENDING,PENDING,0.0
553,50,555,0.8,9.5,7,PENDING,PENDING,0.0
552,51,554,0.8,9.5,6,PENDING,PENDING,0.0
551,52,553,0.8,9.5,5,PENDING,PENDING,0.0
550,53,552,0.8,9.0,9,PENDING,PENDING,0.0
549,54,551,0.95,5.0,9,PENDING,PENDING,0.0
548,55,550,1.1,5.5,5,PENDING,PENDING,0.0
547,56,549,0.95,5.5,5,PENDING,PENDING,0.0
546,57,548,0.95,5.5,7,PENDING,PENDING,0.0
545,58,547,0.95,7.0,7,PENDING,PENDING,0.0
544,59,546,0.95,7.0,6,PENDING,PENDING,0.0
543,60,545,0.95,7.0,5,PENDING,PENDING,0.0
542,61,544,0.95,6.5,9,PENDING,PENDING,0.0
541,62,543,0.95,6.5,8,PENDING,PENDING,0.0
540,63,542,0.95,6.5,7,PENDING,PENDING,0.0
539,64,541,0.95,6.5,6,PENDING,PENDING,0.0
538,65,540,0.95,6.5,5,PENDING,PENDING,0.0
537,66,539,0.95,6.0,9,PENDING,PENDING,0.0
536,67,538,0.95,6.0,8,PENDING,PENDING,0.0
535,68,537,0.95,6.0,7,PENDING,PENDING,0.0
534,69,536,0.95,6.0,6,PENDING,PENDING,0.0
533,70,535,0.95,6.0,5,PENDING,PENDING,0.0
532,71,534,0.95,5.5,9,PENDING,PENDING,0.0
531,72,533,0.95,5.5,8,PENDING,PENDING,0.0
530,73,532,0.95,5.5,6,PENDING,PENDING,0.0
529,74,531,1.1,5.5,6,PENDING,PENDING,0.0
528,75,530,1.1,5.5,7,PENDING,PENDING,0.0
527,76,529,1.1,5.5,8,PENDING,PENDING,0.0
526,77,528,1.25,5.5,6,PENDING,PENDING,0.0
525,78,527,1.25,5.5,5,PENDING,PENDING,0.0
524,79,526,1.25,5.0,9,PENDING,PENDING,0.0
523,80,525,1.25,5.0,8,PENDING,PENDING,0.0
522,81,524,1.25,5.0,7,PENDING,PENDING,0.0
521,82,523,1.25,5.0,6,PENDING,PENDING,0.0
520,84,521,1.1,10.0,9,PENDING,PENDING,0.0
519,85,520,1.1,10.0,8,PENDING,PENDING,0.0
518,86,519,1.1,10.0,7,PENDING,PENDING,0.0
517,87,518,1.1,10.0,6,PENDING,PENDING,0.0
516,88,517,1.1,10.0,5,PENDING,PENDING,0.0
515,89,516,1.1,9.5,9,PENDING,PENDING,0.0
514,90,515,1.1,9.5,8,PENDING,PENDING,0.0
513,91,514,1.1,9.5,7,PENDING,PENDING,0.0
512,92,513,1.25,5.5,7,PENDING,PENDING,0.0
511,93,512,1.1,9.5,6,PENDING,PENDING,0.0
510,94,511,1.25,5.5,8,PENDING,PENDING,0.0
509,95,510,1.25,6.0,5,PENDING,PENDING,0.0
508,96,509,1.25,7.5,5,PENDING,PENDING,0.0
507,97,508,1.25,7.0,9,PENDING,PENDING,0.0
506,98,507,1.25,7.0,8,PENDING,PENDING,0.0
505,99,506,1.25,7.0,7,PENDING,PENDING,0.0
504,100,505,1.25,7.0,6,PENDING,PENDING,0.0
503,101,504,1.25,7.0,5,PENDING,PENDING,0.0
502,102,503,1.25,6.5,9,PENDING,PENDING,0.0
501,103,502,1.25,6.5,8,PENDING,PENDING,0.0
500,104,501,1.25,6.5,7,PENDING,PENDING,0.0
499,105,500,1.25,6.5,6,PENDING,PENDING,0.0
498,106,499,1.25,6.5,5,PENDING,PENDING,0.0
497,107,498,1.25,6.0,9,PENDING,PENDING,0.0
496,108,497,1.25,6.0,8,PENDING,PENDING,0.0
495,109,496,1.25,6.0,7,PENDING,PENDING,0.0
494,110,495,1.25,6.0,6,PENDING,PENDING,0.0
493,111,494,1.25,5.5,9,PENDING,PENDING,0.0
492,112,493,0.8,9.0,8,PENDING,PENDING,0.0
491,113,492,1.1,9.5,5,PENDING,PENDING,0.0
490,114,491,1.1,9.0,8,PENDING,PENDING,0.0
489,115,490,1.1,7.0,8,PENDING,PENDING,0.0
488,116,489,1.1,7.0,7,PENDING,PENDING,0.0
487,117,488,1.1,7.0,6,PENDING,PENDING,0.0
486,118,487,1.1,7.0,5,PENDING,PENDING,0.0
485,119,486,1.1,6.5,9,PENDING,PENDING,0.0
484,120,485,1.1,6.5,8,PENDING,PENDING,0.0
483,121,484,1.1,6.5,7,PENDING,PENDING,0.0
