Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,amount,Conc,elution,res,thrp,priority
74,528,74,530,74,1.4,10.0,5,PENDING,PENDING,1.0
600,1,601,2,603,0.95,9.0,5,PENDING,PENDING,0.0
599,2,600,3,602,0.95,8.5,9,PENDING,PENDING,0.0
598,3,599,4,601,0.95,8.5,8,PENDING,PENDING,0.0
597,4,598,5,600,0.95,8.5,7,PENDING,PENDING,0.0
596,5,597,6,599,0.95,8.5,6,PENDING,PENDING,0.0
595,6,596,7,598,0.95,8.5,5,PENDING,PENDING,0.0
594,7,595,8,597,0.95,9.0,6,PENDING,PENDING,0.0
593,8,594,9,596,0.95,8.0,9,PENDING,PENDING,0.0
592,9,593,10,595,0.95,8.0,7,PENDING,PENDING,0.0
591,10,592,11,594,0.95,8.0,6,PENDING,PENDING,0.0
590,11,591,12,593,0.95,8.0,5,PENDING,PENDING,0.0
589,12,590,13,592,0.95,7.5,9,PENDING,PENDING,0.0
588,13,589,14,591,0.95,7.5,8,PENDING,PENDING,0.0
587,14,588,15,590,0.95,7.5,7,PENDING,PENDING,0.0
586,15,587,16,589,0.95,8.0,8,PENDING,PENDING,0.0
585,16,586,17,588,0.95,9.0,7,PENDING,PENDING,0.0
584,17,585,18,587,0.95,9.0,8,PENDING,PENDING,0.0
583,18,584,19,586,0.95,9.0,9,PENDING,PENDING,0.0
582,20,582,21,584,1.1,5.0,8,PENDING,PENDING,0.0
581,21,581,22,583,1.1,5.0,7,PENDING,PENDING,0.0
580,22,580,23,582,1.1,5.0,6,PENDING,PENDING,0.0
579,23,579,24,581,1.1,5.0,5,PENDING,PENDING,0.0
578,24,578,25,580,0.95,10.0,9,PENDING,PENDING,0.0
577,25,577,26,579,0.95,10.0,8,PENDING,PENDING,0.0
576,26,576,27,578,0.95,10.0,7,PENDING,PENDING,0.0
575,27,575,28,577,0.95,10.0,6,PENDING,PENDING,0.0
574,28,574,29,576,0.95,10.0,5,PENDING,PENDING,0.0
573,29,573,30,575,0.95,9.5,9,PENDING,PENDING,0.0
572,30,572,31,574,0.95,9.5,8,PENDING,PENDING,0.0
571,31,571,32,573,0.95,9.5,7,PENDING,PENDING,0.0
570,32,570,33,572,0.95,9.5,6,PENDING,PENDING,0.0
569,33,569,34,571,0.95,9.5,5,PENDING,PENDING,0.0
568,34,568,35,570,0.95,7.5,6,PENDING,PENDING,0.0
