Unnamed: 0,amount,Conc,elution,res,thrp,priority
178,3.0,3.0,6,PENDING,PENDING,1.0
2730,0.25,1.0,5,PENDING,PENDING,0.0
2729,0.25,1.0,6,PENDING,PENDING,0.0
2728,0.25,1.0,7,PENDING,PENDING,0.0
2727,0.25,1.0,8,PENDING,PENDING,0.0
2726,0.25,1.0,9,PENDING,PENDING,0.0
2725,0.25,1.0,10,PENDING,PENDING,0.0
2724,0.25,1.0,11,PENDING,PENDING,0.0
2723,0.25,1.0,12,PENDING,PENDING,0.0
2722,0.25,1.0,13,PENDING,PENDING,0.0
2721,0.25,1.0,14,PENDING,PENDING,0.0
2720,0.25,1.0,15,PENDING,PENDING,0.0
2719,0.25,1.0,16,PENDING,PENDING,0.0
2718,0.25,1.5,5,PENDING,PENDING,0.0
2717,0.25,1.5,6,PENDING,PENDING,0.0
2716,0.25,1.5,7,PENDING,PENDING,0.0
2715,0.25,1.5,8,PENDING,PENDING,0.0
2714,0.25,1.5,9,PENDING,PENDING,0.0
2713,0.25,1.5,10,PENDING,PENDING,0.0
2712,0.25,1.5,11,PENDING,PENDING,0.0
2711,0.25,1.5,12,PENDING,PENDING,0.0
2710,0.25,1.5,13,PENDING,PENDING,0.0
2709,0.25,1.5,14,PENDING,PENDING,0.0
2708,0.25,1.5,15,PENDING,PENDING,0.0
2707,0.25,1.5,16,PENDING,PENDING,0.0
2706,0.25,2.0,5,PENDING,PENDING,0.0
2705,0.25,2.0,6,PENDING,PENDING,0.0
2704,0.25,2.0,7,PENDING,PENDING,0.0
2703,0.25,2.0,8,PENDING,PENDING,0.0
2702,0.25,2.0,9,PENDING,PENDING,0.0
2701,0.25,2.0,10,PENDING,PENDING,0.0
2700,0.25,2.0,11,PENDING,PENDING,0.0
2699,0.25,2.0,12,PENDING,PENDING,0.0
2698,0.25,2.0,13,PENDING,PENDING,0.0
2697,0.25,2.0,14,PENDING,PENDING,0.0
2696,0.25,2.0,15,PENDING,PENDING,0.0
2695,0.25,2.0,16,PENDING,PENDING,0.0
2694,0.25,2.5,5,PENDING,PENDING,0.0
2693,0.25,2.5,6,PENDING,PENDING,0.0
2692,0.25,2.5,7,PENDING,PENDING,0.0
2691,0.25,2.5,8,PENDING,PENDING,0.0
2690,0.25,2.5,9,PENDING,PENDING,0.0
2689,0.25,2.5,10,PENDING,PENDING,0.0
2688,0.25,2.5,11,PENDING,PENDING,0.0
2687,0.25,2.5,12,PENDING,PENDING,0.0
2686,0.25,2.5,13,PENDING,PENDING,0.0
2685,0.25,2.5,14,PENDING,PENDING,0.0
2684,0.25,2.5,15,PENDING,PENDING,0.0
2683,0.25,2.5,16,PENDING,PENDING,0.0
2682,0.25,3.0,5,PENDING,PENDING,0.0
2681,0.25,3.0,6,PENDING,PENDING,0.0
2680,0.25,3.0,7,PENDING,PENDING,0.0
2679,0.25,3.0,8,PENDING,PENDING,0.0
2678,0.25,3.0,9,PENDING,PENDING,0.0
2677,0.25,3.0,10,PENDING,PENDING,0.0
2676,0.25,3.0,11,PENDING,PENDING,0.0
2675,0.25,3.0,12,PENDING,PENDING,0.0
2674,0.25,3.0,13,PENDING,PENDING,0.0
2673,0.25,3.0,14,PENDING,PENDING,0.0
2672,0.25,3.0,15,PENDING,PENDING,0.0
2671,0.25,3.0,16,PENDING,PENDING,0.0
2670,0.25,3.5,5,PENDING,PENDING,0.0
2669,0.25,3.5,6,PENDING,PENDING,0.0
2668,0.25,3.5,7,PENDING,PENDING,0.0
2667,0.25,3.5,8,PENDING,PENDING,0.0
2666,0.25,3.5,9,PENDING,PENDING,0.0
2665,0.25,3.5,10,PENDING,PENDING,0.0
2664,0.25,3.5,11,PENDING,PENDING,0.0
2663,0.25,3.5,12,PENDING,PENDING,0.0
2662,0.25,3.5,13,PENDING,PENDING,0.0
2661,0.25,3.5,14,PENDING,PENDING,0.0
2660,0.25,3.5,15,PENDING,PENDING,0.0
2659,0.25,3.5,16,PENDING,PENDING,0.0
2658,0.25,4.0,5,PENDING,PENDING,0.0
2657,0.25,4.0,6,PENDING,PENDING,0.0
2656,0.25,4.0,7,PENDING,PENDING,0.0
2655,0.25,4.0,8,PENDING,PENDING,0.0
2654,0.25,4.0,9,PENDING,PENDING,0.0
2653,0.25,4.0,10,PENDING,PENDING,0.0
2652,0.25,4.0,11,PENDING,PENDING,0.0
2651,0.25,4.0,12,PENDING,PENDING,0.0
2650,0.25,4.0,13,PENDING,PENDING,0.0
2649,0.25,4.0,14,PENDING,PENDING,0.0
2648,0.25,4.0,15,PENDING,PENDING,0.0
2647,0.25,4.0,16,PENDING,PENDING,0.0
2646,0.25,4.5,5,PENDING,PENDING,0.0
2645,0.25,4.5,6,PENDING,PENDING,0.0
2644,0.25,4.5,7,PENDING,PENDING,0.0
2643,0.25,4.5,8,PENDING,PENDING,0.0
2642,0.25,4.5,9,PENDING,PENDING,0.0
2641,0.25,4.5,10,PENDING,PENDING,0.0
2640,0.25,4.5,11,PENDING,PENDING,0.0
2639,0.25,4.5,12,PENDING,PENDING,0.0
2638,0.25,4.5,13,PENDING,PENDING,0.0
2637,0.25,4.5,14,PENDING,PENDING,0.0
2636,0.25,4.5,15,PENDING,PENDING,0.0
2635,0.25,4.5,16,PENDING,PENDING,0.0
2634,0.25,5.0,5,PENDING,PENDING,0.0
2633,0.25,5.0,6,PENDING,PENDING,0.0
2632,0.25,5.0,7,PENDING,PENDING,0.0
2631,0.25,5.0,8,PENDING,PENDING,0.0
2630,0.25,5.0,9,PENDING,PENDING,0.0
2629,0.25,5.0,10,PENDING,PENDING,0.0
2628,0.25,5.0,11,PENDING,PENDING,0.0
2627,0.25,5.0,12,PENDING,PENDING,0.0
2626,0.25,5.0,13,PENDING,PENDING,0.0
2625,0.25,5.0,14,PENDING,PENDING,0.0
2624,0.25,5.0,15,PENDING,PENDING,0.0
2623,0.25,5.0,16,PENDING,PENDING,0.0
2622,0.25,5.5,5,PENDING,PENDING,0.0
2621,0.25,5.5,6,PENDING,PENDING,0.0
2620,0.25,5.5,7,PENDING,PENDING,0.0
2619,0.25,5.5,8,PENDING,PENDING,0.0
2618,0.25,5.5,9,PENDING,PENDING,0.0
2617,0.25,5.5,10,PENDING,PENDING,0.0
2616,0.25,5.5,11,PENDING,PENDING,0.0
2615,0.25,5.5,12,PENDING,PENDING,0.0
2614,0.25,5.5,13,PENDING,PENDING,0.0
2613,0.25,5.5,14,PENDING,PENDING,0.0
2612,0.25,5.5,15,PENDING,PENDING,0.0
2611,0.25,5.5,16,PENDING,PENDING,0.0
2610,0.25,6.0,5,PENDING,PENDING,0.0
2609,0.25,6.0,6,PENDING,PENDING,0.0
2608,0.25,6.0,7,PENDING,PENDING,0.0
2607,0.25,6.0,8,PENDING,PENDING,0.0
2606,0.25,6.0,9,PENDING,PENDING,0.0
2605,0.25,6.0,10,PENDING,PENDING,0.0
2604,0.25,6.0,11,PENDING,PENDING,0.0
2603,0.25,6.0,12,PENDING,PENDING,0.0
2602,0.25,6.0,13,PENDING,PENDING,0.0
2601,0.25,6.0,14,PENDING,PENDING,0.0
2600,0.25,6.0,15,PENDING,PENDING,0.0
2599,0.25,6.0,16,PENDING,PENDING,0.0
2598,0.25,6.5,5,PENDING,PENDING,0.0
2597,0.25,6.5,6,PENDING,PENDING,0.0
2596,0.25,6.5,7,PENDING,PENDING,0.0
2595,0.25,6.5,8,PENDING,PENDING,0.0
2594,0.25,6.5,9,PENDING,PENDING,0.0
2593,0.25,6.5,10,PENDING,PENDING,0.0
2592,0.25,6.5,11,PENDING,PENDING,0.0
2591,0.25,6.5,12,PENDING,PENDING,0.0
2590,0.25,6.5,13,PENDING,PENDING,0.0
2589,0.25,6.5,14,PENDING,PENDING,0.0
2588,0.25,6.5,15,PENDING,PENDING,0.0
2587,0.25,6.5,16,PENDING,PENDING,0.0
2586,0.25,7.0,5,PENDING,PENDING,0.0
2585,0.25,7.0,6,PENDING,PENDING,0.0
2584,0.25,7.0,7,PENDING,PENDING,0.0
2583,0.25,7.0,8,PENDING,PENDING,0.0
2582,0.25,7.0,9,PENDING,PENDING,0.0
2581,0.25,7.0,10,PENDING,PENDING,0.0
2580,0.25,7.0,11,PENDING,PENDING,0.0
2579,0.25,7.0,12,PENDING,PENDING,0.0
2578,0.25,7.0,13,PENDING,PENDING,0.0
2577,0.25,7.0,14,PENDING,PENDING,0.0
2576,0.25,7.0,15,PENDING,PENDING,0.0
2575,0.25,7.0,16,PENDING,PENDING,0.0
2574,0.25,7.5,5,PENDING,PENDING,0.0
2573,0.25,7.5,6,PENDING,PENDING,0.0
2572,0.25,7.5,7,PENDING,PENDING,0.0
2571,0.25,7.5,8,PENDING,PENDING,0.0
2570,0.25,7.5,9,PENDING,PENDING,0.0
2569,0.25,7.5,10,PENDING,PENDING,0.0
2568,0.25,7.5,11,PENDING,PENDING,0.0
2567,0.25,7.5,12,PENDING,PENDING,0.0
2566,0.25,7.5,13,PENDING,PENDING,0.0
2565,0.25,7.5,14,PENDING,PENDING,0.0
2564,0.25,7.5,15,PENDING,PENDING,0.0
2563,0.25,7.5,16,PENDING,PENDING,0.0
2562,0.25,8.0,5,PENDING,PENDING,0.0
2561,0.25,8.0,6,PENDING,PENDING,0.0
2560,0.25,8.0,7,PENDING,PENDING,0.0
2559,0.25,8.0,8,PENDING,PENDING,0.0
2558,0.25,8.0,9,PENDING,PENDING,0.0
2557,0.25,8.0,10,PENDING,PENDING,0.0
2556,0.25,8.0,11,PENDING,PENDING,0.0
2555,0.25,8.0,12,PENDING,PENDING,0.0
2554,0.25,8.0,13,PENDING,PENDING,0.0
2553,0.25,8.0,14,PENDING,PENDING,0.0
